slate_date,home_team,away_team,home_projected,away_projected,projected_total,open_total,totals_conf,proj_spread,open_spread_home,spread_conf,home_actual,away_actual,total_actual,total_play,spread_play,total_result,spread_result,close_total,close_spread_home,total_line_mvt,spread_line_mvt,home_conf_grp,away_conf_grp,home_pace_group,away_pace_group,YEAR,MONTH
2025-12-01,Chicago State Cougars,St. Xavier  (IL) Cougars,,,,,,,,,85.0,62.0,147.0,UNDER,PASS,,,,,,,OTHER,,,,2025,DEC
2025-12-01,Southern Jaguars,Louisiana Christian Wildcats,,,,,,,,,101.0,48.0,149.0,UNDER,PASS,,,,,,,LM,,,,2025,DEC
2025-12-01,Villanova Wildcats,Temple Owls,80.46005420427451,73.94742793858266,154.4074821428572,148.5,3.9781024531024856,-6.51262626569185,-14.5,21.01262626569185,74.0,56.0,130.0,OVER,AWAY,-1.0,-1.0,147.5,-14.5,-1.0,0.0,P6,HM2,mid,mid,2025,DEC
2025-12-01,Toledo Rockets,Central State (OH) Marauders,,,,,,,,,102.0,58.0,160.0,UNDER,PASS,,,,,,,MM,,,,2025,DEC
2025-12-01,Hampton Pirates,Apprentice School Builders,,,,,,,,,94.0,58.0,152.0,UNDER,PASS,,,,,,,MM,,,,2025,DEC
2025-12-01,Troy Trojans,West Georgia Wolves,82.46724821151012,76.9960421450257,159.46329035653582,148.5,7.382687108778331,-5.471206066484427,-16.5,21.971206066484427,89.0,93.0,182.0,OVER,AWAY,1.0,1.0,150.5,-17.5,2.0,-1.0,MM,LM,fast,mid,2025,DEC
2025-12-01,Delaware Blue Hens,Iona Gaels,72.22858833318277,75.82839770333709,148.05698603651985,156.5,5.394897101265275,3.5998093701543183,1.5,5.099809370154318,66.0,89.0,155.0,UNDER,HOME,1.0,-1.0,149.5,1.5,7.0,0.0,MM,LM,slow,fast,2025,DEC
2025-12-01,Jacksonville State Gamecocks,North Alabama Lions,76.84595146774727,67.39752812408948,144.24347959183675,135.5,6.452752466300181,-9.448423343657794,-5.5,14.948423343657794,66.0,73.0,139.0,OVER,AWAY,1.0,1.0,134.5,-6.5,-1.0,-1.0,,LM,slow,mid,2025,DEC
2025-12-01,Cincinnati Bearcats,Tarleton State Texans,74.08846855060239,68.82971002082617,142.91817857142854,146.5,2.444929302779153,-5.258758529776216,-16.5,21.758758529776216,76.0,58.0,134.0,UNDER,AWAY,1.0,-1.0,142.5,-24.5,4.0,-8.0,P6,MM,slow,mid,2025,DEC
2025-12-01,Xavier Musketeers,Saint Francis Red Flash,80.54728299355244,69.69707638144754,150.244359375,151.5,0.828805693069315,-10.850206612104898,-27.5,38.3502066121049,96.0,74.0,170.0,UNDER,AWAY,-1.0,1.0,152.5,-27.5,-1.0,0.0,P6,LM,slow,mid,2025,DEC
2025-12-01,Middle Tennessee Blue Raiders,UAB Blazers,77.01422856554551,79.9600415237402,156.9742700892857,155.5,0.9480836587046367,2.9458129581946935,3.5,6.4458129581946935,76.0,61.0,137.0,OVER,HOME,-1.0,1.0,153.5,1.5,-2.0,2.0,MM,HM2,mid,mid,2025,DEC
2025-12-01,Incarnate Word Cardinals,McNeese Cowboys,78.33425858090003,83.59538602167785,161.92964460257787,144.5,12.06203778725112,5.261127440777827,7.5,12.761127440777827,71.0,67.0,138.0,OVER,HOME,-1.0,1.0,145.5,10.5,1.0,-3.0,LM,LM,fast,mid,2025,DEC
2025-12-01,Northern Iowa Panthers,Coe Kohawks,,,,,,,,,99.0,34.0,133.0,UNDER,PASS,,,,,,,HM2,,,,2025,DEC
2025-12-01,Kansas State Wildcats,Bowling Green Falcons,75.17858690928406,80.74392651713916,155.92251342642322,159.5,2.242938290643748,5.565339607855094,-12.5,6.934660392144906,66.0,82.0,148.0,UNDER,AWAY,1.0,1.0,159.5,-12.5,0.0,0.0,,MM,fast,mid,2025,DEC
2025-12-01,Southern Utah Thunderbirds,West Coast Baptist Eagles,,,,,,,,,124.0,59.0,183.0,UNDER,PASS,,,,,,,MM,,,,2025,DEC
2025-12-01,New Mexico Lobos,New Mexico Highlands Cowboys,,,,,,,,,97.0,47.0,144.0,UNDER,PASS,,,,,,,HM2,,,,2025,DEC
2025-12-01,Colorado Buffaloes,California Baptist Lancers,72.51587253890139,72.80658933005672,145.3224618689581,148.5,2.1397563171999323,0.290716791155333,-12.5,12.209283208844667,78.0,70.0,148.0,UNDER,AWAY,1.0,1.0,148.5,-12.5,0.0,0.0,P6,MM,fast,slow,2025,DEC
2025-12-01,Stanford Cardinal,Portland Pilots,80.62619190253965,76.61837151493259,157.24456341747225,155.5,1.1219057347088426,-4.007820387607055,-17.5,21.507820387607055,94.0,72.0,166.0,OVER,AWAY,1.0,-1.0,156.5,-18.5,1.0,-1.0,P6,HM2,mid,fast,2025,DEC
2025-12-01,Eastern Illinois Panthers,Blackburn Beavers,,,,,,,,,,,,UNDER,PASS,,,,,,,LM,,,,2025,DEC
