odds_team_name,espn_teamname,espn_teamid,conference,conf_grp
Auburn Tigers,Auburn Tigers,2,SEC,P6
Arkansas Razorbacks,Arkansas Razorbacks,8,SEC,P6
Arizona St Sun Devils,Arizona State Sun Devils,9,Big 12,P6
Arizona Wildcats,Arizona Wildcats,12,Big 12,P6
Cal Poly Mustangs,Cal Poly Mustangs,13,Big West,MM
Sacramento St Hornets,Sacramento State Hornets,16,Big Sky,LM
San Diego St Aztecs,San Diego State Aztecs,21,Mountain West,HM2
San Jose State Spartans,San Jose State Spartans,23,Mountain West,HM2
Stanford Cardinal,Stanford Cardinal,24,ACC,P6
California Golden Bears,California Golden Bears,25,ACC,P6
UCLA Bruins,UCLA Bruins,26,Big Ten,P6
UC Riverside Highlanders,UC Riverside Highlanders,27,Big West,MM
UC San Diego Tritons,UC San Diego Tritons,28,Big West,MM
USC Trojans,USC Trojans,30,Big Ten,P6
Colorado Buffaloes,Colorado Buffaloes,38,Big 12,P6
UConn Huskies,UConn Huskies,41,Big East,P6
Yale Bulldogs,Yale Bulldogs,43,Ivy League,MM
American Eagles,American University Eagles,44,Patriot League,LM
GW Revolutionaries,George Washington Revolutionaries,45,Atlantic 10,HM2
Georgetown Hoyas,Georgetown Hoyas,46,Big East,P6
Howard Bison,Howard Bison,47,MEAC,LM
Delaware Blue Hens,Delaware Blue Hens,48,CAA,MM
Florida A&M Rattlers,Florida A&M Rattlers,50,SWAC,LM
Florida Gators,Florida Gators,57,SEC,P6
Georgia Tech Yellow Jackets,Georgia Tech Yellow Jackets,59,ACC,P6
Georgia Bulldogs,Georgia Bulldogs,61,SEC,P6
Georgia St Panthers,Georgia State Panthers,61,Sun Belt,MM
Hawai'i Rainbow Warriors,Hawai'i Rainbow Warriors,62,Big West,MM
Iowa State Cyclones,Iowa State Cyclones,66,Big 12,P6
Boise State Broncos,Boise State Broncos,68,Mountain West,HM2
Idaho Vandals,Idaho Vandals,70,Independent,OTHER
Bradley Braves,Bradley Braves,71,MVC,HM2
Northwestern Wildcats,Northwestern Wildcats,77,Big Ten,P6
UIC Flames,UIC Flames,82,MVC,HM2
Indiana Hoosiers,Indiana Hoosiers,84,Big Ten,P6
Notre Dame Fighting Irish,Notre Dame Fighting Irish,87,ACC,P6
Bellarmine Knights,Bellarmine Knights,91,ASUN,LM
Murray St Racers,Murray State Racers,93,MVC,HM2
Northern Kentucky Norse,Northern Kentucky Norse,94,Horizon League,MM
Kentucky Wildcats,Kentucky Wildcats,96,SEC,P6
Louisville Cardinals,Louisville Cardinals,97,ACC,P6
Western Kentucky Hilltoppers,Western Kentucky Hilltoppers,98,C-USA,MM
LSU Tigers,LSU Tigers,99,SEC,P6
Boston College Eagles,Boston College Eagles,103,ACC,P6
Boston Univ. Terriers,Boston University Terriers,104,Patriot League,LM
Holy Cross Crusaders,Holy Cross Crusaders,107,Patriot League,LM
Harvard Crimson,Harvard Crimson,108,Ivy League,MM
Northeastern Huskies,Northeastern Huskies,111,CAA,MM
Massachusetts Minutemen,Massachusetts Minutemen,113,Atlantic 10,HM2
Mt. St. Mary's Mountaineers,Mount St. Mary's Mountaineers,116,MAAC,LM
Towson Tigers,Towson Tigers,119,CAA,MM
Maryland Terrapins,Maryland Terrapins,120,Big Ten,P6
Michigan St Spartans,Michigan State Spartans,127,Big Ten,P6
Michigan Wolverines,Michigan Wolverines,130,Big Ten,P6
Minnesota Golden Gophers,Minnesota Golden Gophers,135,Big Ten,P6
Saint Louis Billikens,Saint Louis Billikens,139,Atlantic 10,HM2
UMKC Kangaroos,Kansas City Roos,140,Summit League,MM
Missouri Tigers,Missouri Tigers,142,SEC,P6
Ole Miss Rebels,Ole Miss Rebels,145,SEC,P6
Montana St Bobcats,Montana State Bobcats,147,Big Sky,LM
Montana Grizzlies,Montana Grizzlies,149,Big Sky,LM
Duke Blue Devils,Duke Blue Devils,150,ACC,P6
NC State Wolfpack,NC State Wolfpack,152,ACC,P6
North Carolina Tar Heels,North Carolina Tar Heels,153,ACC,P6
Wake Forest Demon Deacons,Wake Forest Demon Deacons,154,ACC,P6
North Dakota Fighting Hawks,North Dakota Fighting Hawks,155,Summit League,MM
North Dakota St Bison,North Dakota State Bison,155,Summit League,MM
Creighton Bluejays,Creighton Bluejays,156,Big East,P6
Nebraska Cornhuskers,Nebraska Cornhuskers,158,Big Ten,P6
Dartmouth Big Green,Dartmouth Big Green,159,Ivy League,MM
New Hampshire Wildcats,New Hampshire Wildcats,160,America East,LM
Fairleigh Dickinson Knights,Fairleigh Dickinson Knights,161,NEC,LM
Princeton Tigers,Princeton Tigers,163,Ivy League,MM
Rutgers Scarlet Knights,Rutgers Scarlet Knights,164,Big Ten,P6
New Mexico St Aggies,New Mexico State Aggies,166,C-USA,MM
New Mexico Lobos,New Mexico Lobos,167,Mountain West,HM2
Columbia Lions,Columbia Lions,171,Ivy League,MM
Cornell Big Red,Cornell Big Red,172,Ivy League,MM
St. Bonaventure Bonnies,St. Bonaventure Bonnies,179,Atlantic 10,HM2
Syracuse Orange,Syracuse Orange,183,ACC,P6
Bowling Green Falcons,Bowling Green Falcons,189,MAC,MM
Miami (OH) Redhawks,Miami (OH) Redhawks,193,MAC,MM
Ohio State Buckeyes,Ohio State Buckeyes,194,Big Ten,P6
Ohio Bobcats,Ohio Bobcats,195,MAC,MM
Oklahoma St Cowboys,Oklahoma State Cowboys,197,Big 12,P6
Oral Roberts Golden Eagles,Oral Roberts Golden Eagles,198,Summit League,MM
Oklahoma Sooners,Oklahoma Sooners,201,SEC,P6
Tulsa Golden Hurricane,Tulsa Golden Hurricane,202,AAC,HM2
Temple Owls,Temple Owls,218,AAC,HM2
Pennsylvania Quakers,Pennsylvania Quakers,219,Ivy League,MM
Pittsburgh Panthers,Pittsburgh Panthers,221,ACC,P6
Villanova Wildcats,Villanova Wildcats,222,Big East,P6
Brown Bears,Brown Bears,225,Ivy League,MM
Rhode Island Rams,Rhode Island Rams,227,Atlantic 10,HM2
Clemson Tigers,Clemson Tigers,228,ACC,P6
Charleston Cougars,Charleston Cougars,232,CAA,MM
South Dakota Coyotes,South Dakota Coyotes,233,Summit League,MM
